id,name,source,protein,ingredients,favorite,notes
1,Bourguignon aux champignons et lentilles,Adapté recette perso,Lentilles vertes,"Lentilles vertes|Champignons de Paris|Oignon|Ail|Bouquet garni (laurier + thym)|Carottes|Beurre|Farine|Vin de Bourgogne|Bouillon de légumes",true,Adapté : bœuf + lardons → lentilles vertes + champignons
2,Lasagnes aux lentilles,Adapté recette perso,Lentilles vertes,"Farine|Œufs|Lait|Beurre|Noix de muscade|Parmesan|Emmental|Lentilles vertes|Oignon|Carottes|Pulpe de tomate|Huile d'olive|Ail|Laurier|Thym|Romarin|Vin rouge",true,Adapté : bœuf haché → lentilles vertes
3,Pois chiches butter masala,Adapté recette perso,Pois chiches,"Pois chiches|Fromage blanc|Épices tandoori|Garam masala|Cannelle|Piment en poudre|Cumin en graines|Clou de girofle|Beurre ghee|Oignon|Ail|Gingembre|Pulpe de tomates|Noix de cajou|Riz basmati",true,Adapté : blancs de poulet → pois chiches (même marinade épices)
4,Chili sin carne,Adapté recette perso,Haricots rouges,"Oignon|Ail|Poivron rouge|Poivron vert|Haricots rouges|Haricots noirs|Pulpe de tomates|Bouillon de légumes|Concentré de tomate|Huile d'olive|Paprika|Piment en poudre|Cumin|Riz basmati",false,Adapté : bœuf haché → haricots noirs ajoutés
5,Pâtes carbonara aux champignons fumés,Adapté recette perso,Œufs,"Spaghetti|Crème liquide|Champignons shiitake|Sauce soja|Oignon|Parmesan|Jaunes d'œuf",false,Adapté : poitrine fumée → shiitake + trait de sauce soja
6,Hachis parmentier,Adapté recette perso,Lentilles vertes,"Lentilles vertes|Carottes|Oignon|Ail|Persil|Concentré de tomate|Chapelure|Emmental|Pommes de terre|Lait|Beurre",true,Adapté : viande hachée → lentilles vertes
7,Bo bun tofu,Adapté recette perso,Tofu,"Vermicelles de riz|Tofu ferme|Salade verte|Concombre|Carotte|Cacahuètes|Basilic|Coriandre|Sauce soja|Huile de sésame|Gingembre|Ail|Miel",false,Adapté : bœuf → tofu ferme mariné (même sauce)
8,Endives au gratin fromager,Adapté recette perso,Fromage,"Endives|Emmental|Sucre|Beurre|Noix de muscade|Lait|Farine|Noix",false,Adapté : jambon retiré → noix ajoutées
9,Croque champignons-épinards,Adapté recette perso,Fromage,"Pain de mie|Champignons de Paris|Épinards|Beurre demi-sel|Emmental",false,Adapté : jambon → champignons poêlés + épinards
10,Quiche poireaux et champignons,Adapté recette perso,Œufs,"Pâte brisée|Œufs|Crème fraîche|Lait|Poireaux|Champignons de Paris|Emmental|Cumin en graines",true,Adapté : lardons → poireaux + champignons
